generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 41.38% (48/116)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (49 ms)
generador-1  | Hit rate: 41.03% (48/117)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 40.68% (48/118)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 41.18% (49/119)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 41.67% (50/120)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (3 ms)
generador-1  | Hit rate: 42.15% (51/121)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (4 ms)
generador-1  | Hit rate: 42.62% (52/122)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 43.09% (53/123)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 43.55% (54/124)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (71 ms)
generador-1  | Hit rate: 43.20% (54/125)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (41 ms)
generador-1  | Hit rate: 42.86% (54/126)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 42.52% (54/127)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 42.97% (55/128)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (5 ms)
generador-1  | Hit rate: 43.41% (56/129)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 43.08% (56/130)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (11 ms)
generador-1  | Hit rate: 43.51% (57/131)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 43.18% (57/132)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 42.86% (57/133)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (2 ms)
generador-1  | Hit rate: 43.28% (58/134)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 42.96% (58/135)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 43.38% (59/136)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (14 ms)
generador-1  | Hit rate: 43.07% (59/137)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 43.48% (60/138)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (64 ms)
generador-1  | Hit rate: 43.17% (60/139)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 43.57% (61/140)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 43.26% (61/141)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (3 ms)
generador-1  | Hit rate: 43.66% (62/142)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (64 ms)
generador-1  | Hit rate: 43.36% (62/143)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (49 ms)
generador-1  | Hit rate: 43.06% (62/144)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 43.45% (63/145)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 43.15% (63/146)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (41 ms)
generador-1  | Hit rate: 42.86% (63/147)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 42.57% (63/148)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 42.95% (64/149)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (4 ms)
generador-1  | Hit rate: 43.33% (65/150)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 43.71% (66/151)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 43.42% (66/152)
