comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-20T15:28:17.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:25:28.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:29:02.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:52:33.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:34:57.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:49:39.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:25:53.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:53:02.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T23:00:52.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:38:42.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:23:50.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T14:11:40.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:47:43.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:52:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:54:33.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:35:03.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:26:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:33:36.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:57:33.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:18:29.000Z,"Av. Libertador Bernardo O'Higgins"
